current_time,latitude,longitude,speed,miles,miles_lap,rtc,millis,rpm,input_voltage,motor_watt,motor_tempMosfet,motor_tempMotor,motor_current,battery_current,motor_dutyCycle,motor_error,rasp_temp,battery_ampere,battery_voltage,charge,battery_temperature,autonomy
13:51:29.011, , ,-1.0,0,0, ,2019918,0.0,96.0,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:29.520, , ,-1.0,0,0, ,2020519,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:30.273, , ,-1.0,0,0, ,2021327,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:30.780, , ,-1.0,0,0, ,2021722,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:31.544, , ,-1.0,0,0, ,2022338,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:32.055, , ,-1.0,0,0, ,2022935,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:32.564, , ,-1.0,0,0, ,2023533,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:33.336, , ,-1.0,0,0, ,2024327,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:33.844, , ,-1.0,0,0, ,2024929,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:34.353, , ,-1.0,0,0, ,2025143,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:35.112, , ,-1.0,0,0, ,2026132,0.0,96.0,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:35.630, , ,-1.0,0,0, ,2026733,0.0,95.9,0.05,21.6,20.1,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:51:36.384, , ,-1.0,0,0, ,2027348,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:36.894, , ,-1.0,0,0, ,2027947,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:37.403, , ,-1.0,0,0, ,2028336,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:51:38.175, , ,-1.0,0,0, ,2028937,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:38.690, , ,-1.0,0,0, ,2029553,0.0,96.0,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:39.446, , ,-1.0,0,0, ,2030540,0.0,96.0,0.05,21.6,19.9,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:51:39.956, , ,-1.0,0,0, ,2030750,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:51:40.466, , ,-1.0,0,0, ,2031349,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:41.233, , ,-1.0,0,0, ,2032144,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.52,0,37,0.0,98.2,94.5,21.0,
13:51:41.744, , ,-1.0,0,0, ,2032746,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:42.255, , ,-1.0,0,0, ,2033347,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:51:43.027, , ,-1.0,0,0, ,2033949,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:43.544, , ,-1.0,0,0, ,2034568,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:44.306, , ,-1.0,0,0, ,2035166,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:44.819, , ,-1.0,0,0, ,2035764,0.0,96.0,0.05,21.6,19.9,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:51:45.333, , ,-1.0,0,0, ,2036362,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:46.104, , ,-1.0,0,0, ,2037155,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,38,0.0,98.2,94.5,21.0,
13:51:46.617, , ,-1.0,0,0, ,2037372,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:47.122, , ,-1.0,0,0, ,2037969,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:47.889, , ,-1.0,0,0, ,2038960,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:51:48.399, , ,-1.0,0,0, ,2039165,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:51:49.159, , ,-1.0,0,0, ,2040175,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:49.671, , ,-1.0,0,0, ,2040773,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:50.190, , ,-1.0,0,0, ,2041163,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:50.953, , ,-1.0,0,0, ,2041764,0.0,95.9,0.05,21.6,20.1,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:51.470, , ,-1.0,0,0, ,2042382,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:51.981, , ,-1.0,0,0, ,2042980,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:51:52.751, , ,-1.0,0,0, ,2043577,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:51:53.257, , ,-1.0,0,0, ,2044368,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:54.043, , ,-1.0,0,0, ,2045185,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:54.536, , ,-1.0,0,0, ,2045571,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:55.048, , ,-1.0,0,0, ,2046172,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:55.814, , ,-1.0,0,0, ,2046773,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:56.326, , ,-1.0,0,0, ,2047391,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:57.088, , ,-1.0,0,0, ,2047989,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:51:57.601, , ,-1.0,0,0, ,2048587,0.0,96.0,0.05,21.6,19.9,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:51:58.113, , ,-1.0,0,0, ,2049185,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:58.876, , ,-1.0,0,0, ,2049979,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:59.377, , ,-1.0,0,0, ,2050196,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:51:59.887, , ,-1.0,0,0, ,2050794,0.0,96.0,0.05,21.6,19.8,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:52:00.652, , ,-1.0,0,0, ,2051782,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:52:01.159, , ,-1.0,0,0, ,2051991,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:52:01.926, , ,-1.0,0,0, ,2053002,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:52:02.441, , ,-1.0,0,0, ,2053600,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:52:02.941, , ,-1.0,0,0, ,2053987,0.0,95.9,0.05,21.6,20.0,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:52:03.717, , ,-1.0,0,0, ,2054795,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:52:04.224, , ,-1.0,0,0, ,2055189,0.0,96.0,0.05,21.6,19.9,0.0,0.0,65.53,0,36,0.0,98.2,94.5,21.0,
13:52:04.980, , ,-1.0,0,0, ,2055804,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
13:52:05.485, , ,-1.0,0,0, ,2056402,0.0,95.9,0.05,21.6,19.9,0.0,0.0,65.53,0,37,0.0,98.2,94.5,21.0,
